date,shift,dispatcher,daily_ore_fed,warehouse_2_status,crushed_ore_sst,ore_to_int_bunkers,int_bunkers_status,processed_ore_mfc,processed_ore_moisture,dry_processed_ore,granodiorites,dikes,schists,pulp_density,cu_content_in_ores,adjusted_cu_content_in_ores,cu_content_in_waste,cu_metal_in_waste,cu_metal_in_concentrate,tech_extraction,load_extraction,extracted_cu_concentrate,cu_concentrate_moisture,cu_metal_in_concentrate_chem,liter_weight_in_thickener,timestamp,original_sheet
19.01.2025,3,Цвета Владова,17600.0,0.0,14555.0,15927.0,10.2,15395.0,0.077,14210,0.58,0.202,0.218,0.38,0.0025,0.0026864032653061,0.0003,4.263,34.986319200000004,0.8811951109099141,0.8895712563912007,174.0,0.091,34.5118212,1.68,2025-01-19 22:00:00,Януари 
20.01.2025,1,Георги Томов,3500.0,0.0,14372.0,15135.0,10.0,15289.0,0.073,14173,0.659,0.263,0.078,0.38,0.00262,0.0024318293656953,0.00031,4.39363,31.588593600000003,0.8829303418082263,0.8738244095402695,159.0,0.092,30.31812,1.6,2025-01-20 06:00:00,Януари 
20.01.2025,2,Николинка Мутафова,19510.0,3.0,12968.0,14303.0,10.2,15340.0,0.074,14205,0.682,0.238,0.08,0.39,0.0026,0.0023676986694825,0.00031,4.40355,30.3410016,0.8820211839148975,0.870353542015545,153.0,0.092,29.4935652,1.9,2025-01-20 14:00:00,Януари 
20.01.2025,3,Цвета Владова,20800.0,0.0,15962.0,17375.0,9.4,15381.0,0.067,14350,0.672,0.25,0.078,0.38,0.0025,0.0025368105853658,0.00031,4.4485,33.117525,0.8772085985135075,0.879054525289061,163.0,0.097,32.3227044,1.8,2025-01-20 22:00:00,Януари 
21.01.2025,1,Георги Томов,6200.0,0.0,15312.0,17224.0,8.5,15330.0,0.064,14349,0.649,0.252,0.099,0.38,0.00252,0.0023685626594187,0.00032,4.59168,29.6074464,0.8742715592769529,0.8661499865080584,147.0,0.096,30.4712184,1.8,2025-01-21 06:00:00,Януари 
21.01.2025,2,Николинка Мутафова,19910.0,5.0,16092.0,17523.0,7.9,16178.0,0.076,14948,0.695,0.196,0.109,0.39,0.00258,0.003331212402997,0.00032,4.78336,45.342115,0.8772478957863381,0.9052683223872918,227.0,0.09,46.498907,1.7,2025-01-21 14:00:00,Януари 
21.01.2025,3,Димитър Цончев,22500.0,2.0,16646.0,18280.0,7.5,16598.0,0.068,15469,0.617,0.315,0.068,0.38,0.00268,0.0027526495571788,0.00032,4.950080000000001,38.184048,0.8818750947728701,0.8850499132056084,189.0,0.085,39.394593,1.65,2025-01-21 22:00:00,Януари 
22.01.2025,1,Георги Томов,7100.0,1.0,14066.0,15079.0,8.1,16633.0,0.075,15386,0.622,0.288,0.09,0.4,0.00281,0.0030980454959053,0.00032,4.923520000000001,41.27673,0.88750299624078,0.898059535613754,220.0,0.087,43.28533,1.6,2025-01-22 06:00:00,Януари 
22.01.2025,2,Николинка Мутафова,22560.0,5.0,16897.0,19317.0,7.1,16615.0,0.071,15435,0.661,0.237,0.102,0.39,0.00287,0.0027600422157434,0.00032,4.9392000000000005,39.1084524,0.8898519205128824,0.885454848035816,204.0,0.091,37.3097232,1.55,2025-01-22 14:00:00,Януари 
22.01.2025,3,Димитър Цончев,18120.0,3.0,16152.0,17621.0,7.0,16506.0,0.08,15186,0.601,0.339,0.06,0.38,0.00283,0.0029929427103911,0.00033,5.01138,40.57032,0.8847376797627957,0.8911001373196841,205.0,0.088,42.290352000000006,1.6,2025-01-22 22:00:00,Януари 
23.01.2025,1,Цвета Владова,9054.0,1.0,16072.0,17919.0,6.6,16217.0,0.081,14903,0.544,0.313,0.143,0.39,0.0027,0.0030473945044621,0.00034,5.06702,39.6810799,0.8754643490796186,0.8898189831782544,203.0,0.087,41.886614,1.6,2025-01-23 06:00:00,Януари 
23.01.2025,2,Юлияна Цветкова,23000.0,6.0,15873.0,17849.0,6.1,16432.0,0.086,15019,0.551,0.332,0.117,0.39,0.00272,0.0030603588254877,0.00033,4.95627,41.661528,0.8800178372685985,0.8935532359120771,211.0,0.088,42.6429312,1.62,2025-01-23 14:00:00,Януари 
23.01.2025,3,Димитър Цончев,21646.0,2.0,15633.0,17439.0,5.5,16421.0,0.083,15058,0.613,0.229,0.158,0.38,0.00271,0.0026931066542701,0.00033,4.96914,35.846028000000004,0.8795565666748436,0.8788013606360797,180.0,0.089,36.797112000000006,1.6,2025-01-23 22:00:00,Януари 
24.01.2025,1,Цвета Владова,9772.0,0.0,7196.0,8877.0,8.1,16171.0,0.088,14748,0.593,0.29,0.117,0.4,0.00252,0.0028251617439652,0.00033,4.86684,36.8841044,0.8703785965121651,0.8845483154754249,187.0,0.086,37.1917568,1.6,2025-01-24 06:00:00,Януари 
24.01.2025,2,Юлияна Цветкова,19700.0,2.0,15946.0,16701.0,7.8,16334.0,0.083,14978,0.567,0.308,0.125,0.4,0.0026,0.0028373396648417,0.00034,5.09252,36.6378683,0.8706397054509183,0.8815667956279559,191.0,0.087,38.1375621,1.6,2025-01-24 14:00:00,Януари 
24.01.2025,3,Георги Томов,16828.0,1.0,16552.0,18007.0,6.6,16245.0,0.081,14929,0.578,0.257,0.165,0.4,0.00253,0.0025885033022975,0.00034,5.0758600000000005,33.1920237,0.8670641588762821,0.870090230955676,179.0,0.087,34.2379565,1.6,2025-01-24 22:00:00,Януари 
25.01.2025,1,Николинка Мутафова,14837.0,0.0,15651.0,17592.0,6.1,16159.0,0.074,14963,0.624,0.251,0.125,0.4,0.00264,0.0027841632292989,0.00035,5.23705,36.3862152,0.8689358106833834,0.8758109949202569,197.0,0.082,37.3808682,1.55,2025-01-25 06:00:00,Януари 
25.01.2025,2,Цвета Владова,20100.0,2.0,15949.0,17162.0,6.0,16364.0,0.078,15088,0.487,0.344,0.169,0.4,0.00253,0.0025789417086426,0.00036,5.43168,33.7643235,0.8591575648431835,0.8618748779841869,173.0,0.085,33.526881,1.58,2025-01-25 14:00:00,Януари 
25.01.2025,3,Георги Томов,16763.0,0.0,15411.0,16866.0,5.5,16226.0,0.081,14912,0.589,0.199,0.212,0.4,0.00243,0.0028474597639484,0.00037,5.51744,36.9266968,0.8491987173031524,0.8715595144391123,188.0,0.086,36.6345824,1.6,2025-01-25 22:00:00,Януари 
26.01.2025,1,Николинка Мутафова,12758.0,0.0,14615.0,17403.0,5.0,16071.0,0.088,14657,0.511,0.354,0.135,0.4,0.00247,0.0027934879170362,0.00039,5.71623,36.05108320000001,0.8436384364580748,0.8619927214639398,184.0,0.087,33.81678960000001,1.55,2025-01-26 06:00:00,Януари 
26.01.2025,2,Димитър Цончев,20600.0,1.0,14684.0,16047.0,5.8,15990.0,0.065,14951,0.459,0.381,0.16,0.39,0.00241,0.0026807900742425,0.00038,5.68138,35.097894,0.8437744854090942,0.85975909273195,173.0,0.082,33.350939999999994,1.5,2025-01-26 14:00:00,Януари 
26.01.2025,3,Георги Томов,14217.0,0.0,14579.0,16429.0,5.1,16051.0,0.072,14895,0.484,0.275,0.241,0.4,0.00245,0.0026687585095669,0.00039,5.80905,34.772745,0.8423550547336385,0.8554655538075614,178.0,0.085,31.515345000000003,1.5,2025-01-26 22:00:00,Януари 
27.01.2025,1,Николинка Мутафова,4765.0,0.0,10222.0,11660.0,6.7,15751.0,0.079,14507,0.348,0.476,0.176,0.41,0.0025,0.0025270933893982,0.0004,5.8028,30.829653,0.8415335463258786,0.8432506632489888,153.0,0.082,32.234193000000005,1.5,2025-01-27 06:00:00,Януари 
